id_pesan,id_pelanggan,nama_pelanggan,kota,negara,id_produk,nama_produk,kategori_produk,harga,jumlah_transaksi,diskon,status_diskon,tanggal_pesan,tahun,bulan,kode_bulan,tanggal,hari,estimasi_tiba,tanggal_tiba,lama_pengiriman,status_pengiriman,id_shipper,nama_jasa_pengiriman,revenue
10251,VICTE,Victuailles en stock,Lyon,France,65,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,20,0.0,No Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-15,7,Tepat Waktu,1,Speedy Express,336.0
10252,SUPRD,Suprêmes délices,Charleroi,Belgium,20,Sir Rodney's Marmalade,Confections,64.8,40,0.05,Discount,1996-07-09,1996,July,7,9,Tuesday,1996-08-06,1996-07-11,2,Tepat Waktu,2,United Package,2462.4
10252,SUPRD,Suprêmes délices,Charleroi,Belgium,33,Geitost,Dairy Products,2.0,25,0.05,Discount,1996-07-09,1996,July,7,9,Tuesday,1996-08-06,1996-07-11,2,Tepat Waktu,2,United Package,47.5
10252,SUPRD,Suprêmes délices,Charleroi,Belgium,60,Camembert Pierrot,Dairy Products,27.2,40,0.0,No Discount,1996-07-09,1996,July,7,9,Tuesday,1996-08-06,1996-07-11,2,Tepat Waktu,2,United Package,1088.0
10253,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,31,Gorgonzola Telino,Dairy Products,10.0,20,0.0,No Discount,1996-07-10,1996,July,7,10,Wednesday,1996-07-24,1996-07-16,6,Tepat Waktu,2,United Package,200.0
10253,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,39,Chartreuse verte,Beverages,14.4,42,0.0,No Discount,1996-07-10,1996,July,7,10,Wednesday,1996-07-24,1996-07-16,6,Tepat Waktu,2,United Package,604.8000000000001
10253,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,49,Maxilaku,Confections,16.0,40,0.0,No Discount,1996-07-10,1996,July,7,10,Wednesday,1996-07-24,1996-07-16,6,Tepat Waktu,2,United Package,640.0
10254,CHOPS,Chop-suey Chinese,Bern,Switzerland,24,Guaraná Fantástica,Beverages,3.6,15,0.15,Discount,1996-07-11,1996,July,7,11,Thursday,1996-08-08,1996-07-23,12,Tepat Waktu,2,United Package,45.9
10254,CHOPS,Chop-suey Chinese,Bern,Switzerland,55,Pâté chinois,Meat/Poultry,19.2,21,0.15,Discount,1996-07-11,1996,July,7,11,Thursday,1996-08-08,1996-07-23,12,Tepat Waktu,2,United Package,342.71999999999997
10254,CHOPS,Chop-suey Chinese,Bern,Switzerland,74,Longlife Tofu,Produce,8.0,21,0.0,No Discount,1996-07-11,1996,July,7,11,Thursday,1996-08-08,1996-07-23,12,Tepat Waktu,2,United Package,168.0
10255,RICSU,Richter Supermarkt,Genève,Switzerland,2,Chang,Beverages,15.2,20,0.0,No Discount,1996-07-12,1996,July,7,12,Friday,1996-08-09,1996-07-15,3,Tepat Waktu,3,Federal Shipping,304.0
10255,RICSU,Richter Supermarkt,Genève,Switzerland,16,Pavlova,Confections,13.9,35,0.0,No Discount,1996-07-12,1996,July,7,12,Friday,1996-08-09,1996-07-15,3,Tepat Waktu,3,Federal Shipping,486.5
10255,RICSU,Richter Supermarkt,Genève,Switzerland,36,Inlagd Sill,Seafood,15.2,25,0.0,No Discount,1996-07-12,1996,July,7,12,Friday,1996-08-09,1996-07-15,3,Tepat Waktu,3,Federal Shipping,380.0
10255,RICSU,Richter Supermarkt,Genève,Switzerland,59,Raclette Courdavault,Dairy Products,44.0,30,0.0,No Discount,1996-07-12,1996,July,7,12,Friday,1996-08-09,1996-07-15,3,Tepat Waktu,3,Federal Shipping,1320.0
10256,WELLI,Wellington Importadora,Resende,Brazil,53,Perth Pasties,Meat/Poultry,26.2,15,0.0,No Discount,1996-07-15,1996,July,7,15,Monday,1996-08-12,1996-07-17,2,Tepat Waktu,2,United Package,393.0
10256,WELLI,Wellington Importadora,Resende,Brazil,77,Original Frankfurter grüne Soße,Condiments,10.4,12,0.0,No Discount,1996-07-15,1996,July,7,15,Monday,1996-08-12,1996-07-17,2,Tepat Waktu,2,United Package,124.80000000000001
10257,HILAA,HILARION-Abastos,San Cristóbal,Venezuela,27,Schoggi Schokolade,Confections,35.1,25,0.0,No Discount,1996-07-16,1996,July,7,16,Tuesday,1996-08-13,1996-07-22,6,Tepat Waktu,3,Federal Shipping,877.5
10257,HILAA,HILARION-Abastos,San Cristóbal,Venezuela,39,Chartreuse verte,Beverages,14.4,6,0.0,No Discount,1996-07-16,1996,July,7,16,Tuesday,1996-08-13,1996-07-22,6,Tepat Waktu,3,Federal Shipping,86.4
10257,HILAA,HILARION-Abastos,San Cristóbal,Venezuela,77,Original Frankfurter grüne Soße,Condiments,10.4,15,0.0,No Discount,1996-07-16,1996,July,7,16,Tuesday,1996-08-13,1996-07-22,6,Tepat Waktu,3,Federal Shipping,156.0
10258,ERNSH,Ernst Handel,Graz,Austria,2,Chang,Beverages,15.2,50,0.2,Discount,1996-07-17,1996,July,7,17,Wednesday,1996-08-14,1996-07-23,6,Tepat Waktu,1,Speedy Express,608.0
10258,ERNSH,Ernst Handel,Graz,Austria,5,Chef Anton's Gumbo Mix,Condiments,17.0,65,0.2,Discount,1996-07-17,1996,July,7,17,Wednesday,1996-08-14,1996-07-23,6,Tepat Waktu,1,Speedy Express,884.0
10258,ERNSH,Ernst Handel,Graz,Austria,32,Mascarpone Fabioli,Dairy Products,25.6,6,0.2,Discount,1996-07-17,1996,July,7,17,Wednesday,1996-08-14,1996-07-23,6,Tepat Waktu,1,Speedy Express,122.88000000000002
10259,CENTC,Centro comercial Moctezuma,México D.F.,Mexico,21,Sir Rodney's Scones,Confections,8.0,10,0.0,No Discount,1996-07-18,1996,July,7,18,Thursday,1996-08-15,1996-07-25,7,Tepat Waktu,3,Federal Shipping,80.0
10259,CENTC,Centro comercial Moctezuma,México D.F.,Mexico,37,Gravad lax,Seafood,20.8,1,0.0,No Discount,1996-07-18,1996,July,7,18,Thursday,1996-08-15,1996-07-25,7,Tepat Waktu,3,Federal Shipping,20.8
10260,OTTIK,Ottilies Käseladen,Köln,Germany,41,Jack's New England Clam Chowder,Seafood,7.7,16,0.25,Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-29,10,Tepat Waktu,1,Speedy Express,92.4
10260,OTTIK,Ottilies Käseladen,Köln,Germany,57,Ravioli Angelo,Grains/Cereals,15.6,50,0.0,No Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-29,10,Tepat Waktu,1,Speedy Express,780.0
10260,OTTIK,Ottilies Käseladen,Köln,Germany,62,Tarte au sucre,Confections,39.4,15,0.25,Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-29,10,Tepat Waktu,1,Speedy Express,443.25
10260,OTTIK,Ottilies Käseladen,Köln,Germany,70,Outback Lager,Beverages,12.0,21,0.25,Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-29,10,Tepat Waktu,1,Speedy Express,189.0
10261,QUEDE,Que Delícia,Rio de Janeiro,Brazil,21,Sir Rodney's Scones,Confections,8.0,20,0.0,No Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-30,11,Tepat Waktu,2,United Package,160.0
10261,QUEDE,Que Delícia,Rio de Janeiro,Brazil,35,Steeleye Stout,Beverages,14.4,20,0.0,No Discount,1996-07-19,1996,July,7,19,Friday,1996-08-16,1996-07-30,11,Tepat Waktu,2,United Package,288.0
10262,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,5,Chef Anton's Gumbo Mix,Condiments,17.0,12,0.2,Discount,1996-07-22,1996,July,7,22,Monday,1996-08-19,1996-07-25,3,Tepat Waktu,3,Federal Shipping,163.20000000000002
10262,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,7,Uncle Bob's Organic Dried Pears,Produce,24.0,15,0.0,No Discount,1996-07-22,1996,July,7,22,Monday,1996-08-19,1996-07-25,3,Tepat Waktu,3,Federal Shipping,360.0
10262,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,56,Gnocchi di nonna Alice,Grains/Cereals,30.4,2,0.0,No Discount,1996-07-22,1996,July,7,22,Monday,1996-08-19,1996-07-25,3,Tepat Waktu,3,Federal Shipping,60.8
10263,ERNSH,Ernst Handel,Graz,Austria,16,Pavlova,Confections,13.9,60,0.25,Discount,1996-07-23,1996,July,7,23,Tuesday,1996-08-20,1996-07-31,8,Tepat Waktu,3,Federal Shipping,625.5
10263,ERNSH,Ernst Handel,Graz,Austria,24,Guaraná Fantástica,Beverages,3.6,28,0.0,No Discount,1996-07-23,1996,July,7,23,Tuesday,1996-08-20,1996-07-31,8,Tepat Waktu,3,Federal Shipping,100.8
10263,ERNSH,Ernst Handel,Graz,Austria,30,Nord-Ost Matjeshering,Seafood,20.7,60,0.25,Discount,1996-07-23,1996,July,7,23,Tuesday,1996-08-20,1996-07-31,8,Tepat Waktu,3,Federal Shipping,931.5
10263,ERNSH,Ernst Handel,Graz,Austria,74,Longlife Tofu,Produce,8.0,36,0.25,Discount,1996-07-23,1996,July,7,23,Tuesday,1996-08-20,1996-07-31,8,Tepat Waktu,3,Federal Shipping,216.0
10264,FOLKO,Folk och fä HB,Bräcke,Sweden,2,Chang,Beverages,15.2,35,0.0,No Discount,1996-07-24,1996,July,7,24,Wednesday,1996-08-21,1996-08-23,30,Terlambat,3,Federal Shipping,532.0
10264,FOLKO,Folk och fä HB,Bräcke,Sweden,41,Jack's New England Clam Chowder,Seafood,7.7,25,0.15,Discount,1996-07-24,1996,July,7,24,Wednesday,1996-08-21,1996-08-23,30,Terlambat,3,Federal Shipping,163.625
10265,BLONP,Blondesddsl père et fils,Strasbourg,France,17,Alice Mutton,Meat/Poultry,31.2,30,0.0,No Discount,1996-07-25,1996,July,7,25,Thursday,1996-08-22,1996-08-12,18,Tepat Waktu,1,Speedy Express,936.0
10265,BLONP,Blondesddsl père et fils,Strasbourg,France,70,Outback Lager,Beverages,12.0,20,0.0,No Discount,1996-07-25,1996,July,7,25,Thursday,1996-08-22,1996-08-12,18,Tepat Waktu,1,Speedy Express,240.0
10266,WARTH,Wartian Herkku,Oulu,Finland,12,Queso Manchego La Pastora,Dairy Products,30.4,12,0.05,Discount,1996-07-26,1996,July,7,26,Friday,1996-09-06,1996-07-31,5,Tepat Waktu,3,Federal Shipping,346.55999999999995
10267,FRANK,Frankenversand,München,Germany,40,Boston Crab Meat,Seafood,14.7,50,0.0,No Discount,1996-07-29,1996,July,7,29,Monday,1996-08-26,1996-08-06,8,Tepat Waktu,1,Speedy Express,735.0
10267,FRANK,Frankenversand,München,Germany,59,Raclette Courdavault,Dairy Products,44.0,70,0.15,Discount,1996-07-29,1996,July,7,29,Monday,1996-08-26,1996-08-06,8,Tepat Waktu,1,Speedy Express,2618.0
10267,FRANK,Frankenversand,München,Germany,76,Lakkalikööri,Beverages,14.4,15,0.15,Discount,1996-07-29,1996,July,7,29,Monday,1996-08-26,1996-08-06,8,Tepat Waktu,1,Speedy Express,183.6
10268,GROSR,GROSELLA-Restaurante,Caracas,Venezuela,29,Thüringer Rostbratwurst,Meat/Poultry,99.0,10,0.0,No Discount,1996-07-30,1996,July,7,30,Tuesday,1996-08-27,1996-08-02,3,Tepat Waktu,3,Federal Shipping,990.0
10268,GROSR,GROSELLA-Restaurante,Caracas,Venezuela,72,Mozzarella di Giovanni,Dairy Products,27.8,4,0.0,No Discount,1996-07-30,1996,July,7,30,Tuesday,1996-08-27,1996-08-02,3,Tepat Waktu,3,Federal Shipping,111.2
10269,WHITC,White Clover Markets,Seattle,USA,33,Geitost,Dairy Products,2.0,60,0.05,Discount,1996-07-31,1996,July,7,31,Wednesday,1996-08-14,1996-08-09,9,Tepat Waktu,1,Speedy Express,114.0
10269,WHITC,White Clover Markets,Seattle,USA,72,Mozzarella di Giovanni,Dairy Products,27.8,20,0.05,Discount,1996-07-31,1996,July,7,31,Wednesday,1996-08-14,1996-08-09,9,Tepat Waktu,1,Speedy Express,528.1999999999999
10270,WARTH,Wartian Herkku,Oulu,Finland,36,Inlagd Sill,Seafood,15.2,30,0.0,No Discount,1996-08-01,1996,August,8,1,Thursday,1996-08-29,1996-08-02,1,Tepat Waktu,1,Speedy Express,456.0
10270,WARTH,Wartian Herkku,Oulu,Finland,43,Ipoh Coffee,Beverages,36.8,25,0.0,No Discount,1996-08-01,1996,August,8,1,Thursday,1996-08-29,1996-08-02,1,Tepat Waktu,1,Speedy Express,919.9999999999999
10271,SPLIR,Split Rail Beer & Ale,Lander,USA,33,Geitost,Dairy Products,2.0,24,0.0,No Discount,1996-08-01,1996,August,8,1,Thursday,1996-08-29,1996-08-30,29,Terlambat,2,United Package,48.0
10272,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,20,Sir Rodney's Marmalade,Confections,64.8,6,0.0,No Discount,1996-08-02,1996,August,8,2,Friday,1996-08-30,1996-08-06,4,Tepat Waktu,2,United Package,388.79999999999995
10272,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,31,Gorgonzola Telino,Dairy Products,10.0,40,0.0,No Discount,1996-08-02,1996,August,8,2,Friday,1996-08-30,1996-08-06,4,Tepat Waktu,2,United Package,400.0
10272,RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA,72,Mozzarella di Giovanni,Dairy Products,27.8,24,0.0,No Discount,1996-08-02,1996,August,8,2,Friday,1996-08-30,1996-08-06,4,Tepat Waktu,2,United Package,667.2
10273,QUICK,QUICK-Stop,Cunewalde,Germany,10,Ikura,Seafood,24.8,24,0.05,Discount,1996-08-05,1996,August,8,5,Monday,1996-09-02,1996-08-12,7,Tepat Waktu,3,Federal Shipping,565.44
10273,QUICK,QUICK-Stop,Cunewalde,Germany,31,Gorgonzola Telino,Dairy Products,10.0,15,0.05,Discount,1996-08-05,1996,August,8,5,Monday,1996-09-02,1996-08-12,7,Tepat Waktu,3,Federal Shipping,142.5
10273,QUICK,QUICK-Stop,Cunewalde,Germany,33,Geitost,Dairy Products,2.0,20,0.0,No Discount,1996-08-05,1996,August,8,5,Monday,1996-09-02,1996-08-12,7,Tepat Waktu,3,Federal Shipping,40.0
10273,QUICK,QUICK-Stop,Cunewalde,Germany,40,Boston Crab Meat,Seafood,14.7,60,0.05,Discount,1996-08-05,1996,August,8,5,Monday,1996-09-02,1996-08-12,7,Tepat Waktu,3,Federal Shipping,837.9
10273,QUICK,QUICK-Stop,Cunewalde,Germany,76,Lakkalikööri,Beverages,14.4,33,0.05,Discount,1996-08-05,1996,August,8,5,Monday,1996-09-02,1996-08-12,7,Tepat Waktu,3,Federal Shipping,451.43999999999994
10274,VINET,Vins et alcools Chevalier,Reims,France,71,Flotemysost,Dairy Products,17.2,20,0.0,No Discount,1996-08-06,1996,August,8,6,Tuesday,1996-09-03,1996-08-16,10,Tepat Waktu,1,Speedy Express,344.0
10274,VINET,Vins et alcools Chevalier,Reims,France,72,Mozzarella di Giovanni,Dairy Products,27.8,7,0.0,No Discount,1996-08-06,1996,August,8,6,Tuesday,1996-09-03,1996-08-16,10,Tepat Waktu,1,Speedy Express,194.6
10275,MAGAA,Magazzini Alimentari Riuniti,Bergamo,Italy,24,Guaraná Fantástica,Beverages,3.6,12,0.05,Discount,1996-08-07,1996,August,8,7,Wednesday,1996-09-04,1996-08-09,2,Tepat Waktu,1,Speedy Express,41.04
10275,MAGAA,Magazzini Alimentari Riuniti,Bergamo,Italy,59,Raclette Courdavault,Dairy Products,44.0,6,0.05,Discount,1996-08-07,1996,August,8,7,Wednesday,1996-09-04,1996-08-09,2,Tepat Waktu,1,Speedy Express,250.79999999999998
10276,TORTU,Tortuga Restaurante,México D.F.,Mexico,10,Ikura,Seafood,24.8,15,0.0,No Discount,1996-08-08,1996,August,8,8,Thursday,1996-08-22,1996-08-14,6,Tepat Waktu,3,Federal Shipping,372.0
10276,TORTU,Tortuga Restaurante,México D.F.,Mexico,13,Konbu,Seafood,4.8,10,0.0,No Discount,1996-08-08,1996,August,8,8,Thursday,1996-08-22,1996-08-14,6,Tepat Waktu,3,Federal Shipping,48.0
10277,MORGK,Morgenstern Gesundkost,Leipzig,Germany,28,Rössle Sauerkraut,Produce,36.4,20,0.0,No Discount,1996-08-09,1996,August,8,9,Friday,1996-09-06,1996-08-13,4,Tepat Waktu,3,Federal Shipping,728.0
10277,MORGK,Morgenstern Gesundkost,Leipzig,Germany,62,Tarte au sucre,Confections,39.4,12,0.0,No Discount,1996-08-09,1996,August,8,9,Friday,1996-09-06,1996-08-13,4,Tepat Waktu,3,Federal Shipping,472.79999999999995
10278,BERGS,Berglunds snabbköp,Luleå,Sweden,44,Gula Malacca,Condiments,15.5,16,0.0,No Discount,1996-08-12,1996,August,8,12,Monday,1996-09-09,1996-08-16,4,Tepat Waktu,2,United Package,248.0
10278,BERGS,Berglunds snabbköp,Luleå,Sweden,59,Raclette Courdavault,Dairy Products,44.0,15,0.0,No Discount,1996-08-12,1996,August,8,12,Monday,1996-09-09,1996-08-16,4,Tepat Waktu,2,United Package,660.0
10278,BERGS,Berglunds snabbköp,Luleå,Sweden,63,Vegie-spread,Condiments,35.1,8,0.0,No Discount,1996-08-12,1996,August,8,12,Monday,1996-09-09,1996-08-16,4,Tepat Waktu,2,United Package,280.8
10278,BERGS,Berglunds snabbköp,Luleå,Sweden,73,Röd Kaviar,Seafood,12.0,25,0.0,No Discount,1996-08-12,1996,August,8,12,Monday,1996-09-09,1996-08-16,4,Tepat Waktu,2,United Package,300.0
10279,LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany,17,Alice Mutton,Meat/Poultry,31.2,15,0.25,Discount,1996-08-13,1996,August,8,13,Tuesday,1996-09-10,1996-08-16,3,Tepat Waktu,2,United Package,351.0
10280,BERGS,Berglunds snabbköp,Luleå,Sweden,24,Guaraná Fantástica,Beverages,3.6,12,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-09-11,1996-09-12,29,Terlambat,1,Speedy Express,43.2
10280,BERGS,Berglunds snabbköp,Luleå,Sweden,55,Pâté chinois,Meat/Poultry,19.2,20,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-09-11,1996-09-12,29,Terlambat,1,Speedy Express,384.0
10280,BERGS,Berglunds snabbköp,Luleå,Sweden,75,Rhönbräu Klosterbier,Beverages,6.2,30,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-09-11,1996-09-12,29,Terlambat,1,Speedy Express,186.0
10281,ROMEY,Romero y tomillo,Madrid,Spain,19,Teatime Chocolate Biscuits,Confections,7.3,1,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-08-28,1996-08-21,7,Tepat Waktu,1,Speedy Express,7.3
10281,ROMEY,Romero y tomillo,Madrid,Spain,24,Guaraná Fantástica,Beverages,3.6,6,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-08-28,1996-08-21,7,Tepat Waktu,1,Speedy Express,21.6
10281,ROMEY,Romero y tomillo,Madrid,Spain,35,Steeleye Stout,Beverages,14.4,4,0.0,No Discount,1996-08-14,1996,August,8,14,Wednesday,1996-08-28,1996-08-21,7,Tepat Waktu,1,Speedy Express,57.6
10282,ROMEY,Romero y tomillo,Madrid,Spain,30,Nord-Ost Matjeshering,Seafood,20.7,6,0.0,No Discount,1996-08-15,1996,August,8,15,Thursday,1996-09-12,1996-08-21,6,Tepat Waktu,1,Speedy Express,124.19999999999999
10282,ROMEY,Romero y tomillo,Madrid,Spain,57,Ravioli Angelo,Grains/Cereals,15.6,2,0.0,No Discount,1996-08-15,1996,August,8,15,Thursday,1996-09-12,1996-08-21,6,Tepat Waktu,1,Speedy Express,31.2
10283,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,15,Genen Shouyu,Condiments,12.4,20,0.0,No Discount,1996-08-16,1996,August,8,16,Friday,1996-09-13,1996-08-23,7,Tepat Waktu,3,Federal Shipping,248.0
10283,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,19,Teatime Chocolate Biscuits,Confections,7.3,18,0.0,No Discount,1996-08-16,1996,August,8,16,Friday,1996-09-13,1996-08-23,7,Tepat Waktu,3,Federal Shipping,131.4
10283,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,60,Camembert Pierrot,Dairy Products,27.2,35,0.0,No Discount,1996-08-16,1996,August,8,16,Friday,1996-09-13,1996-08-23,7,Tepat Waktu,3,Federal Shipping,952.0
10283,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,72,Mozzarella di Giovanni,Dairy Products,27.8,3,0.0,No Discount,1996-08-16,1996,August,8,16,Friday,1996-09-13,1996-08-23,7,Tepat Waktu,3,Federal Shipping,83.4
10284,LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany,27,Schoggi Schokolade,Confections,35.1,15,0.25,Discount,1996-08-19,1996,August,8,19,Monday,1996-09-16,1996-08-27,8,Tepat Waktu,1,Speedy Express,394.875
10284,LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany,44,Gula Malacca,Condiments,15.5,21,0.0,No Discount,1996-08-19,1996,August,8,19,Monday,1996-09-16,1996-08-27,8,Tepat Waktu,1,Speedy Express,325.5
10284,LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany,60,Camembert Pierrot,Dairy Products,27.2,20,0.25,Discount,1996-08-19,1996,August,8,19,Monday,1996-09-16,1996-08-27,8,Tepat Waktu,1,Speedy Express,408.0
10284,LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany,67,Laughing Lumberjack Lager,Beverages,11.2,5,0.25,Discount,1996-08-19,1996,August,8,19,Monday,1996-09-16,1996-08-27,8,Tepat Waktu,1,Speedy Express,42.0
10285,QUICK,QUICK-Stop,Cunewalde,Germany,1,Chai,Beverages,14.4,45,0.2,Discount,1996-08-20,1996,August,8,20,Tuesday,1996-09-17,1996-08-26,6,Tepat Waktu,2,United Package,518.4
10285,QUICK,QUICK-Stop,Cunewalde,Germany,40,Boston Crab Meat,Seafood,14.7,40,0.2,Discount,1996-08-20,1996,August,8,20,Tuesday,1996-09-17,1996-08-26,6,Tepat Waktu,2,United Package,470.40000000000003
10285,QUICK,QUICK-Stop,Cunewalde,Germany,53,Perth Pasties,Meat/Poultry,26.2,36,0.2,Discount,1996-08-20,1996,August,8,20,Tuesday,1996-09-17,1996-08-26,6,Tepat Waktu,2,United Package,754.56
10286,QUICK,QUICK-Stop,Cunewalde,Germany,35,Steeleye Stout,Beverages,14.4,100,0.0,No Discount,1996-08-21,1996,August,8,21,Wednesday,1996-09-18,1996-08-30,9,Tepat Waktu,3,Federal Shipping,1440.0
10286,QUICK,QUICK-Stop,Cunewalde,Germany,62,Tarte au sucre,Confections,39.4,40,0.0,No Discount,1996-08-21,1996,August,8,21,Wednesday,1996-09-18,1996-08-30,9,Tepat Waktu,3,Federal Shipping,1576.0
10287,RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil,16,Pavlova,Confections,13.9,40,0.15,Discount,1996-08-22,1996,August,8,22,Thursday,1996-09-19,1996-08-28,6,Tepat Waktu,3,Federal Shipping,472.59999999999997
10287,RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil,34,Sasquatch Ale,Beverages,11.2,20,0.0,No Discount,1996-08-22,1996,August,8,22,Thursday,1996-09-19,1996-08-28,6,Tepat Waktu,3,Federal Shipping,224.0
10287,RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil,46,Spegesild,Seafood,9.6,15,0.15,Discount,1996-08-22,1996,August,8,22,Thursday,1996-09-19,1996-08-28,6,Tepat Waktu,3,Federal Shipping,122.39999999999999
10288,REGGC,Reggiani Caseifici,Reggio Emilia,Italy,54,Tourtière,Meat/Poultry,5.9,10,0.1,Discount,1996-08-23,1996,August,8,23,Friday,1996-09-20,1996-09-03,11,Tepat Waktu,1,Speedy Express,53.1
10288,REGGC,Reggiani Caseifici,Reggio Emilia,Italy,68,Scottish Longbreads,Confections,10.0,3,0.1,Discount,1996-08-23,1996,August,8,23,Friday,1996-09-20,1996-09-03,11,Tepat Waktu,1,Speedy Express,27.0
10289,BSBEV,B's Beverages,London,UK,3,Aniseed Syrup,Condiments,8.0,30,0.0,No Discount,1996-08-26,1996,August,8,26,Monday,1996-09-23,1996-08-28,2,Tepat Waktu,3,Federal Shipping,240.0
10289,BSBEV,B's Beverages,London,UK,64,Wimmers gute Semmelknödel,Grains/Cereals,26.6,9,0.0,No Discount,1996-08-26,1996,August,8,26,Monday,1996-09-23,1996-08-28,2,Tepat Waktu,3,Federal Shipping,239.4
10290,COMMI,Comércio Mineiro,Sao Paulo,Brazil,5,Chef Anton's Gumbo Mix,Condiments,17.0,20,0.0,No Discount,1996-08-27,1996,August,8,27,Tuesday,1996-09-24,1996-09-03,7,Tepat Waktu,1,Speedy Express,340.0
10290,COMMI,Comércio Mineiro,Sao Paulo,Brazil,29,Thüringer Rostbratwurst,Meat/Poultry,99.0,15,0.0,No Discount,1996-08-27,1996,August,8,27,Tuesday,1996-09-24,1996-09-03,7,Tepat Waktu,1,Speedy Express,1485.0
